id,title,original_language,release_date,vote_average,vote_count,popularity,overview,genre_ids,adult,backdrop_path,poster_path
914241,Operation Merry Christmas: The Elf Con,es,2021-12-11,7.1,42,5.417,"The plan of three small-time pickpockets to pull the heist of their lives during Christmas, posing as elves in a Christmas show in one of the most exclusive shopping centers in the city where they will collect private information from some wealthy families, then rob their homes while they enjoy their December vacation.","35,80",False,/Ae9sZjblxsyGF0cwFBGc85OpZMx.jpg,/is2wNqEH4CBw5JsrWzpDG1boQBj.jpg
827315,American Refugee,en,2021-12-10,5.6,43,5.414,A story of a family seeking shelter in a neighbor’s bunker while the American economy is in collapse and the nation under martial law. There they find the danger inside is potentially greater than the danger outside.,"27,53",False,/fXJQwKzEqezjt3ARXVZP0J1PWXY.jpg,/pslX7CSq8eYmUNtnNYWZgZY3Ih2.jpg
946552,Operation Overlord,en,2021-12-22,6.4,36,5.403,"A week before storming the beaches of Normandy, two US Soldiers infiltrate an abandoned complex to rescue a prisoner of war from the clutches of the Nazi regime.",10752,False,/jeM3FKmzm2iuYMPM4Iso8a16zLS.jpg,/7nOL8FuiWdSuQo6uGJaKFfFBTZ9.jpg
738627,Comedians,it,2021-06-10,5.214,56,5.401,"Six aspiring comedians tired of the mediocrity of their lives, at the end of an evening stand-up course they prepare to face their first performance in a club. In the audience there is also an examiner, who will choose one of them for a TV show. For everyone this is the great opportunity to change their life, for some it could be the last one. The performances begin and each comedian takes the stage with a great dilemma: to respect the teachings of their master, devoted to intelligent and uncompromising comedy, or to twist their numbers to satisfy the much less refined taste of the examiner? Or maybe look for a third way, one of absolute originality? Through the stories of six comedians, Comedians is a reflection on the very meaning of comedy in our time, facing absolutely topical issues.",35,False,/wzrX10InpuzBOMweQQTa2Uuf2k8.jpg,/6fczLIFMHUsaVpsvqRxE1bePW1G.jpg
911356,The Making of Jurassic World VelociCoaster,en,2021-12-02,6.0,5,5.397,An inside look at the creation of Universal Orlando Resort's new Jurassic World VelociCoaster.,"99,10770",False,/q97AywF7nyAWTv8iDHtImuXuTTQ.jpg,/7Um0HV6QgzxvT0DBnPk5cM1R6Gq.jpg
821807,To Catch a Spy,en,2021-06-20,7.3,23,5.39,"When the newly renovated Hotel Optima in Malta has a grand reopening, Chloe and her team from Destination Traveler Magazine, head over to cover the travel scene in Malta and sees someone fall to their death, right past her hotel window.","9648,10770,10749",False,/f9bFYAzSxu5EFZDuGjJW1yphboN.jpg,/pnpIHLdsDzIfU3KvFJDK6hxX47J.jpg
802403,Ajeeb Daastaans,hi,2021-04-16,6.3,35,5.389,An anthology of four stories that explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.,"18,10749",False,/lrE4Oed7CEDfYL61twc4Pe7kPsB.jpg,/5KHjF8H2bqvQdmvkmeAlFjKXkmB.jpg
714273,Undergods,en,2021-05-17,5.9,51,5.389,"An otherworldly journey through a Europe in decline - a collection of darkly humorous, fantasy tales about ill-fated characters and doomed fortune.","14,878,18",False,/t6ASPwwwUYMYY4EmNF5xURnOiYd.jpg,/cgoUkmqUPS0gjNXbYKTcIdUqqql.jpg
892342,Happiness Ever After,en,2021-11-09,7.2,30,5.388,"This sequel to ""Happiness is a Four-Letter Word"" finds Zaza, Princess and Zim living new chapters of their lives amid loss, family grudges and new love.","10749,18",False,/a1h53g7qOuzxZnUjNz8LXO5oRp.jpg,/3WjFS2RHHif6zeiDZiUIb2CNDip.jpg
900081,Wife's Woman,ko,2021-09-11,10.0,1,5.387,"Jae-won, a competent husband at a stable workplace is enjoying his honeymoon with his wife. One day, he found a strange video through a USB. It contains his wife’s sex video, not with a man but with another woman. After seeing this, Jae-won suspects Ji-soo’s past life and invites Joo-hee, the other woman in the video to come over the weekend and find out the truth.",10749,False,,/3VB3Hl6KegrP5tpmzs9Y1BjE8lz.jpg
728125,Final Account,de,2021-05-21,7.4,16,5.384,A depiction of the last living generation of German participants in Adolf Hitler’s Third Reich.,"99,10752",False,/czJ2mC7fMhh4rRJ5UPaKb7fkKqo.jpg,/b8LYTQnsppdRGxzkYmd94ZtWzfj.jpg
439213,More Than Miyagi: The Pat Morita Story,en,2021-02-01,7.1,42,5.36,"The Oscar nominated actor best known for his role of Mr. Miyagi, left behind a painfully revealing autobiographical record of his much-too-brief time here on earth. Tracing his journey from being bed bound as a boy to the bright lights and discrimination in Hollywood. Deep inside that sweet, generous, multi-talented performer seethed an army of demons, that even alcohol and drugs couldn't mask.",99,False,/3mzmeYYUENlILaXGzu3Uv7TCT90.jpg,/redrsZOK1g4TIw9jg7iCGjugpjK.jpg
769165,My Brother's Keeper,en,2021-03-19,7.4,37,5.355,"Returning war veteran SFC Travis Fox has one more battle to fight – PTSD. Following an improvised explosive device attack that killed his best friend and their entire Ranger platoon, Travis returns to his hometown to settle the mysterious affairs of his late parents. In searching for answers, he uncovers a new obstacle and finds support from church counselor Tiffany Robertson. Slowly beginning to rediscover his faith in God, Travis uncovers a secret hidden by his friend Donnie that threatens his newfound faith, restores his guilt, and causes him to consider the unthinkable.","18,10751",False,/aPDDNah5isbQKVnj54klCTvn8Ss.jpg,/SJsEwa1pwL7FMmsgSvebxBZT9b.jpg
