id,title,original_language,release_date,vote_average,vote_count,popularity,overview,genre_ids,adult,backdrop_path,poster_path,release_year,release_month,release_day
335787,Uncharted,en,2022-02-10,6.9,5928,126.714,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.","28,12",False,/fwrqW8Lp5VQuppFrODd4iJ8LySE.jpg,/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg,2022,2,10
840326,Sisu,fi,2022-09-09,7.4,2104,70.295,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, German soldiers led by a brutal SS officer battle him.","28,10752,12",False,/oGZhlVTBMZrHPuvGy8o6N4K8xGI.jpg,/ygO9lowFMXWymATCrhoQXd6gCEh.jpg,2022,9,9
436270,Black Adam,en,2022-10-19,6.906,6239,96.741,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.","28,12,878",False,/bQXAqRx2Fgc46uCVWgoPz5L5Dtr.jpg,/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg,2022,10,19
985939,Fall,en,2022-08-11,7.169,3887,95.342,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights","53,28",False,/hlxduUs8y9icWGMzYCDLcYHEQ2u.jpg,/v28T5F1IygM8vXWZIycfNEm3xcL.jpg,2022,8,11
619979,Deep Water,en,2022-03-18,5.813,1360,107.776,A well-to-do husband who allows his wife to have affairs in order to avoid a divorce becomes a prime suspect in the disappearance of her lovers.,"18,9648,53",False,/lcITbesmy0IBO6TXTAgQHJE6Asx.jpg,/6yRMyWwjuhKg6IU66uiZIGhaSc8.jpg,2022,3,18
810171,The Valet,en,2022-05-11,7.5,550,74.602,"World famous movie star Olivia faces a PR disaster when a paparazzi snaps a photo of her with her married lover, Vincent. The hard-working valet Antonio accidentally appears in the same photo and is enlisted to pose as Olivia’s new boyfriend as a cover-up. This ruse with Olivia thrusts Antonio into the spotlight and unexpected chaos.","35,10749",False,/kB1Qrsg189eDz4Ej3ABXtLudClq.jpg,/q7FmdJHKMLIC4XgWfcFRIu2iVdL.jpg,2022,5,11
744276,After Ever Happy,en,2022-08-24,6.8,1212,76.13,"As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for.","10749,18",False,/rwgmDkIEv8VjAsWx25ottJrFvpO.jpg,/moogpu8rNkEjTgFyLXwhPghft5w.jpg,2022,8,24
965143,Cyber Hell: Exposing an Internet Horror,ko,2022-05-17,7.2,89,87.782,"Anonymous and exploitative, a network of online chat rooms ran rampant with sex crimes. The hunt to take down its operators required guts and tenacity.",99,False,/okUGREWC4LN2TSjFX0AOiNJhzdN.jpg,/eRlW6yvXHyXPuN0Ea6u6Sc48lGm.jpg,2022,5,17
1028703,The OctoGames,en,2022-10-07,5.4,118,61.328,"Eight contestants compete in eight deadly, classic children's games. They seek fame beyond their wildest dreams, competing for the chance to take over the YouTube channel of the famous yet elusive masked content creator known only as ""JaxPro"".","53,28,27",False,/uFvYlyWN24gxkDIaWEmMuQMYbqB.jpg,/qGz5rffXhegQH5PGUDiObqoOt06.jpg,2022,10,7
1140233,Wife Swap,ko,2022-08-14,0.0,0,50.674,"A man has an accident at work, and his boss asks his wife to have sex with him in order to free him from responsibility. One day, the man witnesses a scene where his wife has sex with his boss and decides to take revenge by doing the same to his boss' wife.",18,False,/jLeMKUHRYcrrEuvolfzfIxc1mOL.jpg,/lmfpb4QHehVAaLm6IEbgM0VhQuD.jpg,2022,8,14
682075,The Adventure of A.R.I.: My Robot Friend,en,2022-01-13,6.9,14,63.639,A teenager summons the courage to help a friendly robot known as A.R.I. kidnapped by a ruthless lab director working for a powerful corporation seeking to turn him into a dangerous weapon in order to rule the world.,"10751,878",False,/xPTefQ4CZpWapxiEsAZsxtidS49.jpg,/txcjXiyhBvsSFyZtgCHWW7CyIeN.jpg,2022,1,13
818647,Through My Window,es,2022-02-04,7.379,3103,72.791,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.","10749,18,35",False,/4rsomWxlqnHt3muGYK06auhOib6.jpg,/jmkpZvMVIRrMFevxzOubSBfG0s0.jpg,2022,2,4
585511,Luck,en,2022-08-05,7.774,1696,67.215,"Suddenly finding herself in the never-before-seen Land of Luck, the unluckiest person in the world must unite with the magical creatures there to turn her luck around.","16,12,35,14",False,/sKvQUSyqsFq8e1ts6oo3Xp3dPH2.jpg,/1HOYvwGFioUFL58UVvDRG6beEDm.jpg,2022,8,5
966220,Sniper: The White Raven,uk,2022-05-03,7.7,742,65.659,"Mykola is an eccentric pacifist who wants to be useful to humanity. When the war begins at Donbass, Mykola’s naive world is collapsing as the militants kill his pregnant wife and burn his home to the ground. Recovered, he makes a cardinal decision and gets enlisted in a sniper company. Having met his wife’s killers, he emotionally breaks down and arranges “sniper terror” for the enemy. He’s saved from a senseless death by his instructor who himself gets mortally wounded. The death of a friend leaves a “scar” and Mykola is ready to sacrifice his life.","10752,28,18",False,/oal5fDK90yX6b8yunj6JahBqX2J.jpg,/295gZzTXMvuiIG0U19h4M44PXxI.jpg,2022,5,3
899112,Violent Night,en,2022-11-30,7.313,2098,53.663,"When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds, and he’s about to show why this Nick is no saint.","35,28",False,/sBOenwOZGRN5nZZGw4TxwtnfrEf.jpg,/e8CpMgdyihz9Td7amQDqubPuzfN.jpg,2022,11,30
718930,Bullet Train,en,2022-08-03,7.5,6173,58.358,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.","28,35,53",False,/y2Ca1neKke2mGPMaHzlCNDVZqsK.jpg,/tVxDe01Zy3kZqaZRNiXFGDICdZk.jpg,2022,8,3
1016007,A Friend's Wife Sold in Debt,ko,2022-06-30,5.8,4,98.678,"Kim Hak-cheol is a trashy husband who sends his wife Jin Joo-hee to his friend Kang Min-hyeok as a housekeeper due to gambling debts. He visits his wife once in a while and steals money. He borrows money from Min-hyeok, a golden spooner who is Hak-cheol's friend, on the condition that Joo-hee is sent as a housekeeper. Min-hyeok is kind to his friend's wife, Joo-hee. Over time, the true colors begin to emerge. Meanwhile, Min-hyeok's wife, Nam Gyoo-ri, lives together with them without knowing anything about Joo-hee.",10749,False,,/7g7AIfLgFBpxAbqtLD1idxAfgPo.jpg,2022,6,30
724495,The Woman King,en,2022-09-16,7.674,2040,98.274,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.","28,18,36",False,/6n5ln1vWGD3JyT6Ibt7ZxjSxY3v.jpg,/438QXt1E3WJWb3PqNniK0tAE5c1.jpg,2022,9,16
626735,Dog,en,2022-02-17,7.3,1537,69.287,An army ranger and his dog embark on a road trip along the Pacific Coast Highway to attend a friend's funeral.,"18,35",False,/cGnaZm6EQOJESde3Vv4v53Zk4gN.jpg,/zHQy4h36WwuCetKS7C3wcT1hkgA.jpg,2022,2,17
629542,The Bad Guys,en,2022-03-17,7.552,2041,68.747,"When the Bad Guys, a crew of criminal animals, are finally caught after years of heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.","10751,16,12,35,80",False,/9IDJpHROaC0S1ZlIxrvzOcOX5yC.jpg,/7qop80YfuO0BwJa1uXk1DXUUEwv.jpg,2022,3,17
900667,One Piece Film Red,ja,2022-08-06,7.2,1001,67.476,"Uta — the most beloved singer in the world. Her voice, which she sings with while concealing her true identity, has been described as “otherworldly.” She will appear in public for the first time at a live concert. As the venue fills with all kinds of Uta fans — excited pirates, the Navy watching closely, and the Straw Hats led by Luffy who simply came to enjoy her sonorous performance — the voice that the whole world has been waiting for is about to resound.","16,12,28,14",False,/s974GBBFZ1I4SlZHFu2XIffk1dv.jpg,/ogDXuVkO92GcETZfSofXXemw7gb.jpg,2022,8,6
536554,M3GAN,en,2022-12-28,7.067,4016,44.646,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.","878,27",False,/4iYfKsWtKLsy18SOL9egydL91ok.jpg,/d9nBoowhjiiYc4FBNtQkPY7c11H.jpg,2022,12,28
585511,Luck,en,2022-08-05,7.774,1696,67.215,"Suddenly finding herself in the never-before-seen Land of Luck, the unluckiest person in the world must unite with the magical creatures there to turn her luck around.","16,12,35,14",False,/sKvQUSyqsFq8e1ts6oo3Xp3dPH2.jpg,/1HOYvwGFioUFL58UVvDRG6beEDm.jpg,2022,8,5
966220,Sniper: The White Raven,uk,2022-05-03,7.7,742,65.659,"Mykola is an eccentric pacifist who wants to be useful to humanity. When the war begins at Donbass, Mykola’s naive world is collapsing as the militants kill his pregnant wife and burn his home to the ground. Recovered, he makes a cardinal decision and gets enlisted in a sniper company. Having met his wife’s killers, he emotionally breaks down and arranges “sniper terror” for the enemy. He’s saved from a senseless death by his instructor who himself gets mortally wounded. The death of a friend leaves a “scar” and Mykola is ready to sacrifice his life.","10752,28,18",False,/oal5fDK90yX6b8yunj6JahBqX2J.jpg,/295gZzTXMvuiIG0U19h4M44PXxI.jpg,2022,5,3
624091,Sri Asih,id,2022-11-17,6.493,134,65.184,"Alana discover the truth about her origin: she’s not an ordinary human being. She may be the gift for humanity and become its protector as Sri Asih. Or a destruction, if she can’t control her anger.","28,12,878,14,18",False,/oFAukXiMPrwLpbulGmB5suEZlrm.jpg,/wShcJSKMFg1Dy1yq7kEZuay6pLS.jpg,2022,11,17
526896,Morbius,en,2022-03-30,6.001,4296,76.38,"Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.","28,878,14",False,/gG9fTyDL03fiKnOpf2tr01sncnt.jpg,/6JjfSchsU6daXk2AKX8EEBjO3Fm.jpg,2022,3,30
774825,The Ice Age Adventures of Buck Wild,en,2022-01-28,6.6,1696,63.929,The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World.,"16,35,12,10751",False,/eG0oOQVsniPAuecPzDD1B1gnYWy.jpg,/zzXFM4FKDG7l1ufrAkwQYv2xvnh.jpg,2022,1,28
49046,All Quiet on the Western Front,de,2022-10-07,7.728,3841,63.524,"Paul Baumer and his friends Albert and Muller, egged on by romantic dreams of heroism, voluntarily enlist in the German army. Full of excitement and patriotic fervour, the boys enthusiastically march into a war they believe in. But once on the Western Front, they discover the soul-destroying horror of World War I.","18,10752,28",False,/sRnfZo5QuWo63khQsdEbd4oEvcJ.jpg,/2IRjbi9cADuDMKmHdLK7LaqQDKA.jpg,2022,10,7
